anchor,radiative_case,planet,T_K,T_C,escape_velocity_km_s,gas,molecular_mass_amu,jeans_lambda,retention_class
earth,venus_greenhouse_effective,Venus-like,579.8375830116065,306.68758301160653,10.360937957550536,NH3,17.03,189.60171090029357,retenção plausível
earth,venus_greenhouse_effective,Venus-like,579.8375830116065,306.68758301160653,10.360937957550536,H2O,18.015,200.5681046311679,retenção plausível
earth,venus_greenhouse_effective,Venus-like,579.8375830116065,306.68758301160653,10.360937957550536,N2,28.014,311.89091774285527,retenção plausível
earth,venus_greenhouse_effective,Venus-like,579.8375830116065,306.68758301160653,10.360937957550536,CO,28.01,311.8463841642527,retenção plausível
earth,venus_greenhouse_effective,Venus-like,579.8375830116065,306.68758301160653,10.360937957550536,O2,31.998,356.24636203098026,retenção plausível
earth,venus_greenhouse_effective,Venus-like,579.8375830116065,306.68758301160653,10.360937957550536,H2S,34.08,379.4260896935998,retenção plausível
earth,venus_greenhouse_effective,Venus-like,579.8375830116065,306.68758301160653,10.360937957550536,CO2,44.01,489.9806985743935,retenção plausível
earth,venus_greenhouse_effective,Venus-like,579.8375830116065,306.68758301160653,10.360937957550536,SO2,64.07,713.3165952661075,retenção plausível
venus_hot,Blackbody Ideal,Earth-like,327.55466272083544,54.40466272083546,11.184982503114451,H2,2.016,46.30343168265864,retenção plausível
venus_hot,Blackbody Ideal,Earth-like,327.55466272083544,54.40466272083546,11.184982503114451,He,4.003,91.94079217543776,retenção plausível
venus_hot,Blackbody Ideal,Earth-like,327.55466272083544,54.40466272083546,11.184982503114451,CH4,16.04,368.4062719195657,retenção plausível
venus_hot,Blackbody Ideal,Earth-like,327.55466272083544,54.40466272083546,11.184982503114451,NH3,17.03,391.14456426372845,retenção plausível
venus_hot,Blackbody Ideal,Earth-like,327.55466272083544,54.40466272083546,11.184982503114451,H2O,18.015,413.7680167475672,retenção plausível
venus_hot,Blackbody Ideal,Earth-like,327.55466272083544,54.40466272083546,11.184982503114451,N2,28.014,643.4247694236107,retenção plausível
venus_hot,Blackbody Ideal,Earth-like,327.55466272083544,54.40466272083546,11.184982503114451,CO,28.01,643.3328975353514,retenção plausível
venus_hot,Blackbody Ideal,Earth-like,327.55466272083544,54.40466272083546,11.184982503114451,O2,31.998,734.929170129817,retenção plausível
venus_hot,Blackbody Ideal,Earth-like,327.55466272083544,54.40466272083546,11.184982503114451,H2S,34.08,782.7484879687529,retenção plausível
venus_hot,Blackbody Ideal,Earth-like,327.55466272083544,54.40466272083546,11.184982503114451,CO2,44.01,1010.8204505723246,retenção plausível
venus_hot,Blackbody Ideal,Earth-like,327.55466272083544,54.40466272083546,11.184982503114451,SO2,64.07,1471.5579701924298,retenção plausível
