anchor,radiative_case,planet,T_K,T_C,escape_velocity_km_s,phi_flux_W_m2,planet_gravity_m_s2,candidate_atmosphere,candidate_priority,mixture_name,mole_fractions,surface_pressure_bar,mean_molar_mass_g_mol,cp_mix_J_mol_K,column_density_mol_m2,albedo_assumed,emissivity_assumed,mixture_notes,redistribution_factor_atm,T_eq_atm_K,T_eq_atm_C,climate_classification,column_heat_capacity_J_m2_K,radiative_timescale_seconds,radiative_timescale_days,radiative_timescale_years
mars_cold,Blackbody Ideal,Earth-like,225.7412324149625,-47.40876758503748,11.184982503114451,589.0,9.819767158161415,CO2_N2_H2O,alta,CO2_dominated,"{'CO2': 0.9, 'N2': 0.09, 'H2O': 0.01}",2.0,42.31041,36.3826,481372.8276682272,0.35,0.75,"Atmosfera CO2-dominante por outgassing, efeito estufa mais forte.",4.0,217.8080440574704,-55.34195594252958,muito frio,17513595.03992204,9963698.2631841,115.32058174981597,0.3157305455162655
mars_cold,Blackbody Ideal,Earth-like,225.7412324149625,-47.40876758503748,11.184982503114451,589.0,9.819767158161415,N2_CO2_CH4_H2O,alta,reducing_CH4,"{'N2': 0.84, 'CO2': 0.1, 'CH4': 0.05, 'H2O': 0.01}",1.0,28.91491,30.2951,352189.95496617554,0.25,0.8,Atmosfera redutora tipo Terra arqueana simplificada.,4.0,222.12820688568758,-51.0217931143124,muito frio,10669629.904695785,5365083.777847162,62.095877058416235,0.17000924588204308
mars_cold,Blackbody Ideal,Earth-like,225.7412324149625,-47.40876758503748,11.184982503114451,589.0,9.819767158161415,sulfur_volcanic,média,sulfur_volcanic,"{'CO2': 0.8, 'N2': 0.15, 'H2O': 0.03, 'SO2': 0.01, 'H2S': 0.01}",1.0,40.93205,35.8379,248791.37132762757,0.4,0.8,Atmosfera secundária vulcânica/sulfurada.,4.0,210.07588778506047,-63.074112214939504,muito frio,8916160.286502384,5300142.2971728565,61.34423955061177,0.1679513745396626
mars_cold,earth_effective_temperature,Earth-like,206.0396290543012,-67.11037094569883,11.184982503114451,589.0,9.819767158161415,N2_CO2_H2O,alta,N2_CO2_H2O_baseline,"{'N2': 0.9, 'CO2': 0.09, 'H2O': 0.01}",1.0,29.35365,29.8864,346925.8797713749,0.3,0.85,"Atmosfera secundária de alto peso molecular, baseline rochoso/water world.",4.0,215.0456541236065,-58.10434587639347,muito frio,10368365.61319922,5407887.376869113,62.59128908413325,0.17136561008660714
mars_cold,earth_effective_temperature,Earth-like,206.0396290543012,-67.11037094569883,11.184982503114451,589.0,9.819767158161415,CO2_N2_H2O,alta,CO2_dominated,"{'CO2': 0.9, 'N2': 0.09, 'H2O': 0.01}",2.0,42.31041,36.3826,481372.8276682272,0.35,0.75,"Atmosfera CO2-dominante por outgassing, efeito estufa mais forte.",4.0,217.8080440574704,-55.34195594252958,muito frio,17513595.03992204,9963698.2631841,115.32058174981597,0.3157305455162655
mars_cold,earth_effective_temperature,Earth-like,206.0396290543012,-67.11037094569883,11.184982503114451,589.0,9.819767158161415,N2_CO2_CH4_H2O,alta,reducing_CH4,"{'N2': 0.84, 'CO2': 0.1, 'CH4': 0.05, 'H2O': 0.01}",1.0,28.91491,30.2951,352189.95496617554,0.25,0.8,Atmosfera redutora tipo Terra arqueana simplificada.,4.0,222.12820688568758,-51.0217931143124,muito frio,10669629.904695785,5365083.777847162,62.095877058416235,0.17000924588204308
mars_cold,earth_effective_temperature,Earth-like,206.0396290543012,-67.11037094569883,11.184982503114451,589.0,9.819767158161415,sulfur_volcanic,média,sulfur_volcanic,"{'CO2': 0.8, 'N2': 0.15, 'H2O': 0.03, 'SO2': 0.01, 'H2S': 0.01}",1.0,40.93205,35.8379,248791.37132762757,0.4,0.8,Atmosfera secundária vulcânica/sulfurada.,4.0,210.07588778506047,-63.074112214939504,muito frio,8916160.286502384,5300142.2971728565,61.34423955061177,0.1679513745396626
mars_cold,earth_surface_greenhouse_effective,Earth-like,233.14080976658707,-40.00919023341291,11.184982503114451,589.0,9.819767158161415,N2_CO2_H2O,alta,N2_CO2_H2O_baseline,"{'N2': 0.9, 'CO2': 0.09, 'H2O': 0.01}",1.0,29.35365,29.8864,346925.8797713749,0.3,0.85,"Atmosfera secundária de alto peso molecular, baseline rochoso/water world.",4.0,215.0456541236065,-58.10434587639347,muito frio,10368365.61319922,5407887.376869113,62.59128908413325,0.17136561008660714
mars_cold,earth_surface_greenhouse_effective,Earth-like,233.14080976658707,-40.00919023341291,11.184982503114451,589.0,9.819767158161415,CO2_N2_H2O,alta,CO2_dominated,"{'CO2': 0.9, 'N2': 0.09, 'H2O': 0.01}",2.0,42.31041,36.3826,481372.8276682272,0.35,0.75,"Atmosfera CO2-dominante por outgassing, efeito estufa mais forte.",4.0,217.8080440574704,-55.34195594252958,muito frio,17513595.03992204,9963698.2631841,115.32058174981597,0.3157305455162655
mars_cold,earth_surface_greenhouse_effective,Earth-like,233.14080976658707,-40.00919023341291,11.184982503114451,589.0,9.819767158161415,N2_CO2_CH4_H2O,alta,reducing_CH4,"{'N2': 0.84, 'CO2': 0.1, 'CH4': 0.05, 'H2O': 0.01}",1.0,28.91491,30.2951,352189.95496617554,0.25,0.8,Atmosfera redutora tipo Terra arqueana simplificada.,4.0,222.12820688568758,-51.0217931143124,muito frio,10669629.904695785,5365083.777847162,62.095877058416235,0.17000924588204308
mars_cold,earth_surface_greenhouse_effective,Earth-like,233.14080976658707,-40.00919023341291,11.184982503114451,589.0,9.819767158161415,sulfur_volcanic,média,sulfur_volcanic,"{'CO2': 0.8, 'N2': 0.15, 'H2O': 0.03, 'SO2': 0.01, 'H2S': 0.01}",1.0,40.93205,35.8379,248791.37132762757,0.4,0.8,Atmosfera secundária vulcânica/sulfurada.,4.0,210.07588778506047,-63.074112214939504,muito frio,8916160.286502384,5300142.2971728565,61.34423955061177,0.1679513745396626
mars_cold,mars_like_radiative_case,Mars-like,212.7871051306364,-60.3628948693636,5.027887186236593,589.0,3.7285618816404313,N2_CO2_H2O,alta,N2_CO2_H2O_baseline,"{'N2': 0.9, 'CO2': 0.09, 'H2O': 0.01}",1.0,29.35365,29.8864,913685.0798346854,0.3,0.85,"Atmosfera secundária de alto peso molecular, baseline rochoso/water world.",4.0,215.0456541236065,-58.10434587639347,muito frio,27306757.76997134,14242540.835892223,164.84422263764148,0.45131888470264603
mars_cold,mars_like_radiative_case,Mars-like,212.7871051306364,-60.3628948693636,5.027887186236593,589.0,3.7285618816404313,CO2_N2_H2O,alta,CO2_dominated,"{'CO2': 0.9, 'N2': 0.09, 'H2O': 0.01}",2.0,42.31041,36.3826,1267772.7322278093,0.35,0.75,"Atmosfera CO2-dominante por outgassing, efeito estufa mais forte.",4.0,217.8080440574704,-55.34195594252958,muito frio,46124868.20755149,26241001.24512312,303.715292188925,0.8315271517835043
mars_cold,mars_like_radiative_case,Mars-like,212.7871051306364,-60.3628948693636,5.027887186236593,589.0,3.7285618816404313,N2_CO2_CH4_H2O,alta,reducing_CH4,"{'N2': 0.84, 'CO2': 0.1, 'CH4': 0.05, 'H2O': 0.01}",1.0,28.91491,30.2951,927548.86816834,0.25,0.8,Atmosfera redutora tipo Terra arqueana simplificada.,4.0,222.12820688568758,-51.0217931143124,muito frio,28100185.716046676,14129810.676310714,163.5394754202629,0.4477466815065377
mars_cold,mars_like_radiative_case,Mars-like,212.7871051306364,-60.3628948693636,5.027887186236593,589.0,3.7285618816404313,sulfur_volcanic,média,sulfur_volcanic,"{'CO2': 0.8, 'N2': 0.15, 'H2O': 0.03, 'SO2': 0.01, 'H2S': 0.01}",1.0,40.93205,35.8379,655232.074711367,0.4,0.8,Atmosfera secundária vulcânica/sulfurada.,4.0,210.07588778506047,-63.074112214939504,muito frio,23482141.5702985,13958776.84627881,161.55991720230105,0.44232694648131704
mars_cold,venus_greenhouse_effective,Venus-like,469.8643663935213,196.7143663935213,10.360937957550536,589.0,8.868889239938161,N2_CO2_H2O,alta,N2_CO2_H2O_baseline,"{'N2': 0.9, 'CO2': 0.09, 'H2O': 0.01}",1.0,29.35365,29.8864,384121.53634235216,0.3,0.85,"Atmosfera secundária de alto peso molecular, baseline rochoso/water world.",4.0,215.0456541236065,-58.10434587639347,muito frio,11480009.883742074,5987693.996591761,69.30201384944168,0.18973857316753368
mars_cold,venus_greenhouse_effective,Venus-like,469.8643663935213,196.7143663935213,10.360937957550536,589.0,8.868889239938161,CO2_N2_H2O,alta,CO2_dominated,"{'CO2': 0.9, 'N2': 0.09, 'H2O': 0.01}",2.0,42.31041,36.3826,532983.2131267783,0.35,0.75,"Atmosfera CO2-dominante por outgassing, efeito estufa mais forte.",4.0,217.8080440574704,-55.34195594252958,muito frio,19391315.04990632,11031956.125694875,127.68467738072772,0.3495815944715338
mars_cold,venus_greenhouse_effective,Venus-like,469.8643663935213,196.7143663935213,10.360937957550536,589.0,8.868889239938161,N2_CO2_CH4_H2O,alta,reducing_CH4,"{'N2': 0.84, 'CO2': 0.1, 'CH4': 0.05, 'H2O': 0.01}",1.0,28.91491,30.2951,389949.99933445017,0.25,0.8,Atmosfera redutora tipo Terra arqueana simplificada.,4.0,222.12820688568758,-51.0217931143124,muito frio,11813574.224837102,5940301.2099016225,68.75348622571322,0.18823678638114502
