anchor,radiative_case,planet,T_K,T_C,escape_velocity_km_s,phi_flux_W_m2,planet_gravity_m_s2,candidate_atmosphere,candidate_priority,mixture_name,mole_fractions,surface_pressure_bar,mean_molar_mass_g_mol,cp_mix_J_mol_K,column_density_mol_m2,albedo_assumed,emissivity_assumed,mixture_notes
venus_hot,earth_effective_temperature,Earth-like,298.96727540650375,25.817275406503768,11.184982503114451,2611.0,9.819767158161415,CO2_N2_H2O,alta,CO2_dominated,"{'CO2': 0.9, 'N2': 0.09, 'H2O': 0.01}",2.0,42.31041,36.382600000000004,481372.8276682272,0.35,0.75,"Atmosfera CO2-dominante por outgassing, efeito estufa mais forte."
venus_hot,earth_effective_temperature,Earth-like,298.96727540650375,25.817275406503768,11.184982503114451,2611.0,9.819767158161415,N2_CO2_CH4_H2O,alta,reducing_CH4,"{'N2': 0.84, 'CO2': 0.1, 'CH4': 0.05, 'H2O': 0.01}",1.0,28.91491,30.295099999999998,352189.95496617554,0.25,0.8,Atmosfera redutora tipo Terra arqueana simplificada.
venus_hot,earth_effective_temperature,Earth-like,298.96727540650375,25.817275406503768,11.184982503114451,2611.0,9.819767158161415,sulfur_volcanic,média,sulfur_volcanic,"{'CO2': 0.8, 'N2': 0.15, 'H2O': 0.03, 'SO2': 0.01, 'H2S': 0.01}",1.0,40.932050000000004,35.8379,248791.37132762754,0.4,0.8,Atmosfera secundária vulcânica/sulfurada.
venus_hot,earth_surface_greenhouse_effective,Earth-like,338.2915849824837,65.14158498248372,11.184982503114451,2611.0,9.819767158161415,N2_CO2_H2O,alta,N2_CO2_H2O_baseline,"{'N2': 0.9, 'CO2': 0.09, 'H2O': 0.01}",1.0,29.35365,29.886400000000002,346925.8797713749,0.3,0.85,"Atmosfera secundária de alto peso molecular, baseline rochoso/water world."
venus_hot,earth_surface_greenhouse_effective,Earth-like,338.2915849824837,65.14158498248372,11.184982503114451,2611.0,9.819767158161415,CO2_N2_H2O,alta,CO2_dominated,"{'CO2': 0.9, 'N2': 0.09, 'H2O': 0.01}",2.0,42.31041,36.382600000000004,481372.8276682272,0.35,0.75,"Atmosfera CO2-dominante por outgassing, efeito estufa mais forte."
venus_hot,earth_surface_greenhouse_effective,Earth-like,338.2915849824837,65.14158498248372,11.184982503114451,2611.0,9.819767158161415,N2_CO2_CH4_H2O,alta,reducing_CH4,"{'N2': 0.84, 'CO2': 0.1, 'CH4': 0.05, 'H2O': 0.01}",1.0,28.91491,30.295099999999998,352189.95496617554,0.25,0.8,Atmosfera redutora tipo Terra arqueana simplificada.
venus_hot,earth_surface_greenhouse_effective,Earth-like,338.2915849824837,65.14158498248372,11.184982503114451,2611.0,9.819767158161415,sulfur_volcanic,média,sulfur_volcanic,"{'CO2': 0.8, 'N2': 0.15, 'H2O': 0.03, 'SO2': 0.01, 'H2S': 0.01}",1.0,40.932050000000004,35.8379,248791.37132762754,0.4,0.8,Atmosfera secundária vulcânica/sulfurada.
venus_hot,mars_like_radiative_case,Mars-like,308.75798677436813,35.60798677436816,5.027887186236593,2611.0,3.7285618816404313,N2_CO2_H2O,alta,N2_CO2_H2O_baseline,"{'N2': 0.9, 'CO2': 0.09, 'H2O': 0.01}",1.0,29.35365,29.886400000000002,913685.0798346854,0.3,0.85,"Atmosfera secundária de alto peso molecular, baseline rochoso/water world."
venus_hot,mars_like_radiative_case,Mars-like,308.75798677436813,35.60798677436816,5.027887186236593,2611.0,3.7285618816404313,CO2_N2_H2O,alta,CO2_dominated,"{'CO2': 0.9, 'N2': 0.09, 'H2O': 0.01}",2.0,42.31041,36.382600000000004,1267772.7322278093,0.35,0.75,"Atmosfera CO2-dominante por outgassing, efeito estufa mais forte."
venus_hot,mars_like_radiative_case,Mars-like,308.75798677436813,35.60798677436816,5.027887186236593,2611.0,3.7285618816404313,N2_CO2_CH4_H2O,alta,reducing_CH4,"{'N2': 0.84, 'CO2': 0.1, 'CH4': 0.05, 'H2O': 0.01}",1.0,28.91491,30.295099999999998,927548.86816834,0.25,0.8,Atmosfera redutora tipo Terra arqueana simplificada.
venus_hot,mars_like_radiative_case,Mars-like,308.75798677436813,35.60798677436816,5.027887186236593,2611.0,3.7285618816404313,sulfur_volcanic,média,sulfur_volcanic,"{'CO2': 0.8, 'N2': 0.15, 'H2O': 0.03, 'SO2': 0.01, 'H2S': 0.01}",1.0,40.932050000000004,35.8379,655232.074711367,0.4,0.8,Atmosfera secundária vulcânica/sulfurada.
venus_hot,venus_greenhouse_effective,Venus-like,681.781801277912,408.631801277912,10.360937957550536,2611.0,8.868889239938161,N2_CO2_H2O,alta,N2_CO2_H2O_baseline,"{'N2': 0.9, 'CO2': 0.09, 'H2O': 0.01}",1.0,29.35365,29.886400000000002,384121.53634235216,0.3,0.85,"Atmosfera secundária de alto peso molecular, baseline rochoso/water world."
venus_hot,venus_greenhouse_effective,Venus-like,681.781801277912,408.631801277912,10.360937957550536,2611.0,8.868889239938161,CO2_N2_H2O,alta,CO2_dominated,"{'CO2': 0.9, 'N2': 0.09, 'H2O': 0.01}",2.0,42.31041,36.382600000000004,532983.2131267783,0.35,0.75,"Atmosfera CO2-dominante por outgassing, efeito estufa mais forte."
venus_hot,venus_greenhouse_effective,Venus-like,681.781801277912,408.631801277912,10.360937957550536,2611.0,8.868889239938161,N2_CO2_CH4_H2O,alta,reducing_CH4,"{'N2': 0.84, 'CO2': 0.1, 'CH4': 0.05, 'H2O': 0.01}",1.0,28.91491,30.295099999999998,389949.99933445017,0.25,0.8,Atmosfera redutora tipo Terra arqueana simplificada.
venus_hot,venus_greenhouse_effective,Venus-like,681.781801277912,408.631801277912,10.360937957550536,2611.0,8.868889239938161,sulfur_volcanic,média,sulfur_volcanic,"{'CO2': 0.8, 'N2': 0.15, 'H2O': 0.03, 'SO2': 0.01, 'H2S': 0.01}",1.0,40.932050000000004,35.8379,275465.5370365199,0.4,0.8,Atmosfera secundária vulcânica/sulfurada.
